,A4,A5,A6,A9,A9_2_TEXT,B2,B5,B6,B6_8_TEXT,B8,B9,B9_9_TEXT,B10,B11,B11_1_TEXT,B12,B13,B14,B15,B15_1_TEXT,B16,B17,B17_1_TEXT,B18,C1,C2,C3,C4,C5,C6,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D11_1_TEXT,D11_2_TEXT,D11_3_TEXT,D12,D13,D14_NPS_GROUP,D14,D15,E1,E2,E3,E3_6_TEXT,E4_NPS_GROUP,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F7_1_TEXT,F8,F8_1_TEXT,B3_B4_Combined,Distribution,Logistics/ Transport,Production,Aggregation (group buying for reselling),Processing,Agri-Services - Inputs supply,B13_Combined,D3_Combined
10,Married,High School ,1963,Côte d'Ivoire,,Cooperative,21.0,3,,Production et transformation de manioc (placali et attieké),"Other, specify",NEKA - HANNIE (TABOU),No,No,,Local Markets ,Less than 1 million,Cassava,"Yes, specify",obergine,présidente,Oui,NEKA - HANNIE,Autres,NEKA - HANNIE (Coopérative),21 membres,Les revendeuses du marché local,No,Lacation de moto taxi,"Le Transport, le matériel pour la plantation","Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ",Between 1 and 5 millions,"February ,March ",More than 3 years,Every year,Charges ,No,,,,,,,No,,Passive,8,Apport de credit et sécurité de l'argent,Yes for personal expenditures,Monthly ,Other :,Conserver l'argent,Passive,8,,No,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,Yes,More than 90%,More than 90%,No,More than 90%,No,"Yes, explain",S'entraider entre les femmes afin que chaque femme puisse se prendre en carge,"Yes, explain",Tout es fait naturellement,21.0,0,0,1,0,1,0,150000.0,5000000.0
11,Married,Professional training ,10 09 1967 abengourou,Côte d'Ivoire,,Cooperative,151.0,"More than 3, specify",,La scoopromidcoopca est citue a abengourou,Abidjan ,,No,No,,Local Markets ,Between 1 and 5 millions,Cassava,"Yes, specify",,président,Oui,Societe Cooperative,Statuts et règlements intérieurs,G z ,Les membres elles même,Les.  Malca Abidjan,No,La coopérative Lou cher les particulier,Bocouq   de problème,"Agri - Equipment (financing for equipment),Operational loan (working capital) ",More than 250 millions,February ,More than 8 years,Every trimester,Logistics,No,,,,,,,Yes,ADVANS,Detractor,3,,Yes for personal and business expenditures,Daily,"Transfer money,Pay producers/ farmers,Pay business suppliers",,Passive,8,,,"Technical partnerships, Access to markets, Access to new buyers",Comment bien rembourser son crédit,Yes,Yes,51-60%,21-30%,Yes,41-50%,"Yes, explain","Yes, explain",,"Yes, explain",99 Ans de vie,1511.0,0,0,1,0,1,0,,
12,Single,High School ,15-04-1982,Côte d'Ivoire,,Cooperative,1.0,"More than 3, specify",6.0,Production du manioc frais pour la vente,"Other, specify",Tabou,No,No,,Local Markets ,Less than 1 million,Cassava,"Yes, specify",banane,presidente,Oui,LINKS,Statuts et règlements intérieurs,LINKS,10 femmes membres de la coopérative section manioc,la population,,location de véhicule,"-le transport pour faire ressortir le manioc
-manque de moyen de transport pour la coopérative
-lieu pour la conservation du manioc
-moyen traditionnel pour les travaux","Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Product financing (fertilizers, seeds, pesticides)",Between 5 and 25 millions,"January ,February ,March ",More than 3 years,Every semester,Charges ,No,,,,,,,Yes,COOPEC ,Passive,8,Structure mieux outillé  pour accompagner les coopératives dans l gestion de l'argent,Yes for personal expenditures,Monthly ,"Transfer money,Other :",reçevoir et retirer de l'argent,Passive,8,Utilisation en fonction des zones. Certaines zones ne possède pas de banque,No,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,Yes,41-50%,41-50%,No,More than 90%,No,"Yes, explain",Coopérative pourvois aux besoins des membres,"Yes, explain",,10.0,0,0,1,0,0,0,500000.0,10000000.0
13,Single,University,1994,Côte d'Ivoire,,Women-Led SME,6.0,"More than 3, specify",,"Yellior est spécialisée dans la transformation du manioc en farines à haute valeur ajoutée. Nous achetons le manioc auprès des groupements de femme que nous acheminons ensuite à notre unité pour sa transformation. Nous vendons la farine pâtissière de manioc, la pâte de manioc fermentée en poudre ""farine de placali"" , la farine de cossette de manioc ""Konkodé"",  l'attieké déshydraté. ",Abidjan ,,Yes,No,,"Local Markets ,International Markets",Between 5 and 25 millions,Cassava,"Yes, specify",farine,responsable,Oui,SARL,Registre de commerce,,,LM trade. Ils prennent les produits au prix de gros et revendent en France. ,No,Nous expédions nos produits via les compagnies de transport locales. Une fois à Abidjan nous louons une fourgonnette pour récupérer le stock qui est ensuite acheminé au magasin. ,Manque de fonds pour une grande campagne de publicité. De plus nos produits ne sont pas référencés dans les grandes surfaces. ,"Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Trade finance for export ",Between 1 and 5 millions,"January ,February ,March ,April ,May ",Between 3 months and a year,Every year,Charges ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0,0,0,0,1,0,9600000.0,
14,Married,Primary,01-01-1972,Côte d'Ivoire,,Cooperative,22.0,"More than 3, specify",5.0,Production de manioc frais et transformation en attiéké,"Other, specify","San pedro(village Gabiadji, Djapadji)",No,No,,Local Markets ,Less than 1 million,Cassava,"Yes, specify",,présidente,Oui,SOCAT,Statuts et règlements intérieurs,SOCAT,22 femmes de la coopératives qui produisent le manioc,"Revendeuse du marché locale, et la population ",No,location des véhicules,"-manque de véhicule pour faire ressortir le maniocs des champs 
- Manque de broyeuse","Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment)",Between 1 and 5 millions,"January ,February ,March ",Between 3 months and a year,Every month,Other,No,,,,,,,Yes,ADVANS,Passive,8,Octroi de credit ,No,,,,Passive,8,,ADVENCE,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,No,31-40%,31-40%,Yes,More than 90%,No,"Yes, explain",aide les femmes,"Yes, explain",,52.0,0,0,1,0,1,0,600000.0,5000000.0
15,Married,University,1976,Côte d'Ivoire,,Cooperative,,"More than 3, specify",,,"Other, specify","France,le Maroc,le Sénégal",No,,,"Local Markets ,Regional Markets ,International Markets",Between 50 and 100 millions,Cassava,,,,Oui,,Registre de commerce,,,,,Nous avons un véhicule et une moto,Problème de VISA,"Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Trade finance for export ",More than 250 millions,"January ,February ,March ,April ,May ,June ,July ,August,September ,October ,November ,December",More than 8 years,Every month,Logistics,No,,,,,,,No,,Detractor,3,Parcequ'elle ne prêt jamais,Yes for personal and business expenditures,Daily,"Transfer money,Pay producers/ farmers,Pay business suppliers",,Detractor,3,Beaucoup d'arnaque,No,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,Yes,Yes,More than 90%,More than 90%,Yes,81-90%,No,"Yes, explain",,"Yes, explain",,300.0,0,0,1,0,1,0,,
16,Married,None ,,Côte d'Ivoire,,Women’s association ,4.0,"More than 3, specify",20.0,Production et transformation du manioc frais (en attieké et placali),"Other, specify",SAn pedro (village Blaou),No,No,,Local Markets ,Less than 1 million,Cassava,"Yes, specify",obergine,présidente,Oui,GBANDEGOH,Statuts et règlements intérieurs,GBANDEGOH,Membre de la coopérative,les revendeuses locales,No,"Lacation de moto
Utilisation de main d'oeuvre","le transport du manioc
manque moyen financier 
manque de matériel de champs","Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ",Between 5 and 25 millions,"January ,February ,March ",Between one and 3 years ,Every month,Labor ,No,,,,,,,Yes,COOPEC ,Passive,8,Argent est en sécurité,Yes for personal expenditures,Weekly ,"Transfer money,Other :",Conservé l'argent,Passive,8,,No,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,Yes,More than 90%,More than 90%,No,More than 90%,No,"Yes, explain",Aider les membres de la coopérative financièrement,"Yes, explain",,47.0,0,0,1,0,1,0,100000.0,10000000.0
17,Married,University,28/12/1984,Côte d'Ivoire,,Family-Led SME,149.0,"1,5",,"BALIF SARL est spécialisée dans la production, l'achat, la transformation et la commercialisation des produits à base de manioc. Nous produisons l'attiéké frais et déshydraté.",Abidjan ,,No,No,,Local Markets ,Between 50 and 100 millions,Cassava,No,,gerant,Oui,SARL,Statuts et règlements intérieurs,Nous n'appartenons pas à une faitière pour l'instant.,Les producteurs,Les particuliers ,No,nous faisons de la location,nous n'avons pas notre propre véhicule de livraison. L'accès à certains marchés plus important est difficile.  ,"Agri - Transport (financing for vehicle),Leasing (equipment, transport/logistics) ",Between 5 and 25 millions,"January ,February ,March ,April ,May ,June ,July ,August,September ,October ,November ,December",Between one and 3 years ,Every month,Logistics,No,,,,,,,Yes,Coris Bank,Detractor,5,"Les institutions financières ont des taux de crédits et des frais annexes très élevés, elles ne prennent pas de risque et n'accompagnent vraiment pas les entreprises en Côte d'ivoire ",Yes for personal and business expenditures,Monthly ,"Transfer money,Pay employees ",,Passive,8,Moyen de transfert de fonds rapide et moins couteux depuis l'avènement de Wave,,"Technical partnerships, Access to markets, Access to new buyers",La vente en ligne pour optimiser ses revenus,Yes,No,61-70%,21-30%,No,51-60%,"Yes, explain","Yes, explain","Orgnisation des femmes autour des AVECs, dons aux  employés musulmans et participation aux cotisations.","Yes, explain",Nous aidons les producteurs à disposer de matériel végétal amélioré pour un rendement plus élevé. nous organisons les producteurs autour des AVECs; ,9.0,1,1,1,0,1,0,65.0,
18,Single,None ,1964,Côte d'Ivoire,,Women’s association ,4.0,"More than 3, specify",5.0,Production de manioc frais,"Other, specify",San pedro ( sous prefecture ADOBA),No,No,,Local Markets ,Less than 1 million,Cassava,"Yes, specify",,présidente,Oui,ABEUBLEUKELE,Statuts et règlements intérieurs,ABEUBLEUKELE,les 40 femmes de l'association,les revendeuses locales et les femme qui transforment en attieké et le placali,No,location de tryciclo moto,Manque de véhicule pour transporter le manioc vers les villes,"Agri Cash (liquidities),Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment)",Between 1 and 5 millions,"March ,April ",Between one and 3 years ,Every semester,Charges ,Yes,,,,,,,,,Passive,8,L'argent est en sécurité,No,,,,,,,ADEC,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,Yes,More than 90%,More than 90%,Yes,More than 90%,"Yes, explain","Yes, explain",l'association aide les femmes du village à aider leur maris dans les dépenses du ménages,"Yes, explain",le manioc est bénéfique,40.0,0,0,1,0,0,0,250000.0,2000000.0
19,Married,University,1984,Côte d'Ivoire,,Women’s association ,,"More than 3, specify",,Notre coopérative est situe dans la région de DIVO et est spécialisée dans la culture de manioc et de l'élevage. Les fonds servent a soutenir les familles aux villages et la scolarisation des enfants démunis de nos différents villages. Notre coopérative a permis de réinsérer plusieurs jeunes sans emplois. ,Divo,,No,No,,Local Markets ,Between 1 and 5 millions,Cassava,"Yes, specify",lelevage,directrice,Non,,Statuts et règlements intérieurs,AUCUNE,Nous prenons les tiges aux villages et les volailles sur Abidjan chez des particuliers,Marche local,No,Nous louons des camions de transport pour les livraisons,Nous avons de la main d'œuvre mais par manque de financement nous avons du mal a croitre.,"Agri Cash (liquidities),Agri - Transport (financing for vehicle),Operational loan (working capital) ,Product financing (fertilizers, seeds, pesticides)",Between 5 and 25 millions,March ,Between 3 months and a year,Every year,Logistics,No,,,,,,,Yes,Bank of Africa ,Passive,8,"Nous pensons que sans le soutien des institutions financières , il est impossible de bâtir un business rentable et durable pour des structures comme la notre avec peu de moyens.",Yes for personal and business expenditures,Weekly ,"Transfer money,Pay bills,Pay business suppliers",,Passive,8,C'est fiable et rapide,No,"Technical partnerships, Access to markets, Access to new buyers",Connaitre son cycle d’activité agricole pour un crédit au moment opportun,No,Yes,31-40%,41-50%,No,41-50%,"Yes, explain","Yes, explain","Elle permet la scolarisation et l'encadrement des enfants , aide a l'insertion des sans emploi et a la prise en charge des familles.","Yes, explain",Nous avons de l'experience car étant  dans l'agriculture depuis plusieurs années et suivons des formation dédiés pour nous perfectionner.,115.0,0,0,1,0,0,0,,
20,Single,High School ,1970,Côte d'Ivoire,,Other,,Between 6 months and a year ,,Elle produit le manioc ,Yamoussoukro ,,No,No,,Local Markets ,Less than 1 million,Cassava,No,,trésorière,Non,,Registre de commerce,Membre FPTM_CI,Vente au marcher,Pas de principal acheteur ,No,Je loue les trycite ,Probleme d'évacuation ,Agri Cash (liquidities),Between 5 and 25 millions,February ,More than 3 years,Every year,Labor ,No,,,,,,,Yes,COOPEC ,Promoter,10,Je fais confiance au institution financière parce que je suis certaine qu''il vont m'aider,No,Weekly ,Transfer money,,Promoter,10,J'ai confiance en eux car je suis confiante qu'il peuvent m'aider,No,"Technical partnerships, Access to markets, Access to new buyers",Constitution d’un dossier agricole,Yes,No,<10%,Less than 10%,No,Less than 10%,No,"Yes, explain",En produisant des produits vivrière ,"Yes, explain",Car elle es transformable ,,0,0,1,0,0,0,,
21,Married,Professional training ,1970 ,"Other, specify",France ,Family-Led SME,,Between 6 months and a year ,,ÉLÉMENTERRE-CI est une PME familiale qui œuvre dans la filière manioc. Nous voulons cultiver des vivriers et nous avons déjà planté environ 5 hectares. Nous vendrons  et transformeront nos produits,Divo,,No,No,,"Local Markets ,Regional Markets ,International Markets",Between 25 and 50 millions,Cassava,"Yes, specify",ignames,codirecteur,Oui,En cours de constitution,Registre de commerce,FPTM-CI ,Nous n'avons pas encore de fournisseur. Nous avons acheté des boutures de manioc chez quelques agriculteurs ,NdiNdia Industry. Nous allons faire du démarchage pour trouver des acheteurs ,No,Nous envisageons d'acquérir uune camionnette et une moto pour démarrer notre activité ,Le manque de financement au départ est un handicap.. Les pistes  pour transporter nos produits dès plantations jusqu'aux clients sont impraticables ,"Agri - Transport (financing for vehicle),Agri - Equipment (financing for equipment),Operational loan (working capital) ,Trade finance for export ,Insurance",Between 5 and 25 millions,January ,More than 3 years,Every semester,Labor ,No,,,,,,,,,Promoter,9,La confiance  permet à la banque et à l'entreprise de travailler en toute sérénité ,Yes for personal expenditures,Monthly ,"Transfer money,Pay bills",,Detractor,6,Les disfonctionnents sont récurrents ,,"Technical partnerships, Access to markets, Access to new buyers",Connaitre son cycle d’activité agricole pour un crédit au moment opportun,No,Yes,<10%,Less than 10%,No,Less than 10%,"Yes, explain","Yes, explain","Nous avons comblé le manque de manioc sur le marché local. Grâce à nous, la communauté peut aisément se procurer du manioc, de façon régulière ","Yes, explain",Nous disposons d'une grande superficie de terres. Ce qui nous permettra de produire sur de longues années ,8.0,1,0,1,0,1,0,,
22,Single,University,30 OCTOBRE 1987,Côte d'Ivoire,,Cooperative,524.0,"More than 3, specify",23.0,,Abidjan ,,No,"Yes, specify",,International Markets,More than 250 millions,"Banane, ",No,,membre,Oui,Societe Cooperative,Statuts et règlements intérieurs,,,CARGILL WEST AFRICA,Yes,,,"Agri - Equipment (financing for equipment),Operational loan (working capital) ,Leasing (equipment, transport/logistics) ,Product financing (fertilizers, seeds, pesticides),Trade finance for export ,Insurance",Between 50 and 100 millions,September ,Between one and 3 years ,Every year,Logistics,No,,,,,,,No,,Passive,7,Parce que notre argent est en lieu sûr lorsqu'il est dans une institution financière ,Yes for personal and business expenditures,Daily,"Transfer money,Pay bills,Pay business suppliers",,Detractor,5,Nous leurs faisons confiance parce c'est plus rapide et fiable ,,"Technical partnerships, Access to markets, Access to new buyers",Epargne et bancarisation agricole ,Yes,No,<10%,Less than 10%,No,21-30%,No,"Yes, explain","Écoulement des produits, cohésion sociale, vie associative, peu de problèmes financiers ","Yes, explain","Nous appliquons le système de durabilité de RA,les producteurs sont suivis par des personnes formés et disponibles ",524.0,0,0,0,1,0,0,,
